model  ,workload      ,freq    ,speed                ,power              ,voltage
little ,gzip-1        ,900000  ,0.21951065309477144  ,138449.18571400002 ,1065294.642857
little ,gzip-5        ,1000000 ,0.20099777950803124  ,167175.764286      ,1102392.857143
little ,gzip-5        ,1100000 ,0.18153242783401102  ,196534.371429      ,1138705.357143
little ,gzip-5        ,1200000 ,0.1661908469590795   ,236608.63571399997 ,1175000.0
little ,gzip-5        ,1300000 ,0.15505954955734347  ,282810.128571      ,1220178.571429
little ,gzip-5        ,1400000 ,0.1442454652939989   ,319824.114286      ,1255250.0
little ,gzip-5        ,1500000 ,0.13493093404850479  ,370424.785714      ,1291250.0
little ,gzip-5        ,200000  ,1.0                  ,29993.785713999998 ,918776.7857139999
little ,gzip-5        ,300000  ,0.6602647287827667   ,39860.871429       ,918750.0
little ,gzip-5        ,400000  ,0.4932664301986908   ,49480.2            ,918750.0
little ,gzip-5        ,500000  ,0.3939210427660986   ,57958.585714       ,918750.0
little ,gzip-5        ,600000  ,0.3290365371860311   ,74481.514286       ,955303.5714290001
little ,gzip-5        ,700000  ,0.28203131758802663  ,96565.9            ,992160.7142860001
little ,gzip-5        ,800000  ,0.24745508550335957  ,115312.228571      ,1028750.0
little ,gzip-5        ,900000  ,0.22057848141419384  ,136689.93571400002 ,1065348.214286
little ,gzip-9        ,1000000 ,0.19863092831147824  ,165577.228571      ,1102383.928571
little ,gzip-9        ,1100000 ,0.1815608572583906   ,197905.042857      ,1138741.071429
little ,gzip-9        ,1200000 ,0.1673791231009185   ,238869.10714299997 ,1175000.0
little ,gzip-9        ,1300000 ,0.15423719022586793  ,281910.72142899997 ,1219258.928571
little ,gzip-9        ,1400000 ,0.14389694413956444  ,323267.25714299997 ,1255214.285714
little ,gzip-9        ,1500000 ,0.13494309976315635  ,371595.907143      ,1291250.0
little ,gzip-9        ,200000  ,1.0                  ,29880.371429000003 ,918866.0714290001
little ,gzip-9        ,300000  ,0.6590607128415459   ,39500.228571       ,918750.0
little ,gzip-9        ,400000  ,0.49381895904338285  ,49558.885714       ,918750.0
little ,gzip-9        ,500000  ,0.39457570331003405  ,57712.928571000004 ,918687.5
little ,gzip-9        ,600000  ,0.3300213736930276   ,74247.285714       ,955267.857143
little ,gzip-9        ,700000  ,0.28285483218762636  ,95791.70714299999  ,992044.642857
little ,gzip-9        ,800000  ,0.24796372248859108  ,113874.98571400001 ,1028803.5714290001
little ,gzip-9        ,900000  ,0.22101553925249842  ,139541.471429      ,1065616.071429
little ,hash          ,1000000 ,0.20014847416284437  ,148659.978571      ,1103669.642857
little ,hash          ,1100000 ,0.18235808786488852  ,175145.68571400002 ,1139937.5
little ,hash          ,1200000 ,0.16759021131054963  ,204557.06428599998 ,1176312.5
little ,hash          ,1300000 ,0.15510247368560595  ,243521.25          ,1225000.0
little ,hash          ,1400000 ,0.144656255799772    ,287714.690647      ,1273741.007194
little ,hash          ,1500000 ,0.13540313386536576  ,330180.428571      ,1309723.214286
little ,hash          ,200000  ,1.0                  ,26344.9            ,919142.857143
little ,hash          ,300000  ,0.6630697033168068   ,35298.214286       ,918875.0
little ,hash          ,400000  ,0.49640745552403426  ,44308.014286       ,918937.5
little ,hash          ,500000  ,0.3971683856086115   ,53268.814286       ,918946.4285709999
little ,hash          ,600000  ,0.3313360023331654   ,68005.742857       ,956250.0
little ,hash          ,700000  ,0.2843015086035475   ,84988.757143       ,992642.857143
little ,hash          ,800000  ,0.24922448763157198  ,103865.271429      ,1029982.142857
little ,hash          ,900000  ,0.22202189993901955  ,124750.49285699999 ,1066473.214286
little ,idle          ,1000000 ,0.9950248756218907   ,57033.876812       ,1104592.391304
little ,idle          ,1100000 ,0.9950248756218907   ,67050.05           ,1141250.0
little ,idle          ,1200000 ,0.9950248756218907   ,78157.884892       ,1178489.208633
little ,idle          ,1300000 ,0.9950248756218907   ,93751.571429       ,1227500.0
little ,idle          ,1400000 ,0.9950248756218907   ,111850.51428599999 ,1276250.0
little ,idle          ,1500000 ,0.9950248756218907   ,129216.67625899999 ,1313444.2446040001
little ,idle          ,200000  ,1.0                  ,13819.985612       ,919730.2158270001
little ,idle          ,300000  ,0.9955223880597015   ,16576.892086       ,919667.2661870001
little ,idle          ,400000  ,0.9950248756218907   ,19377.971223       ,918776.978417
little ,idle          ,500000  ,0.9950248756218907   ,22092.776978       ,918956.834532
little ,idle          ,600000  ,0.9950248756218907   ,27625.438849000002 ,956447.8417270001
little ,idle          ,700000  ,0.9950248756218907   ,33797.719424       ,993750.0
little ,idle          ,800000  ,0.9950248756218907   ,40457.405797       ,1030833.333333
little ,idle          ,900000  ,0.9950248756218907   ,48101.057554       ,1067544.9640290001
big    ,cachekiller   ,1000000 ,0.3471179945712917   ,493204.83453199995 ,963282.374101
big    ,cachekiller   ,1100000 ,0.3479163340252275   ,559848.5693430001  ,988750.0
big    ,cachekiller   ,1200000 ,0.34727766246207886  ,629925.6690649999  ,1013750.0
big    ,cachekiller   ,1300000 ,0.3429666294108255   ,706790.719424      ,1038758.9928059999
big    ,cachekiller   ,1400000 ,0.34264729362925117  ,790873.345324      ,1064928.057554
big    ,cachekiller   ,1500000 ,0.3429666294108255   ,881041.510791      ,1090000.0
big    ,cachekiller   ,1600000 ,0.3416892862845282   ,1010534.5214290001 ,1128500.0
big    ,cachekiller   ,1700000 ,0.3428069615200383   ,1154390.791367     ,1166250.0
big    ,cachekiller   ,1800000 ,0.35558039278301135  ,1310200.719424     ,1204766.18705
big    ,cachekiller   ,1900000 ,0.35350471020277824  ,1532682.0863309999 ,1255287.769784
big    ,cachekiller   ,200000  ,0.6340411943158231   ,156615.258993      ,915134.8920860001
big    ,cachekiller   ,2000000 ,0.34743733035286606  ,1856858.8489209998 ,1318812.94964
big    ,cachekiller   ,300000  ,0.48746607057320773  ,200138.76259       ,915512.5899280001
big    ,cachekiller   ,400000  ,0.4213635637873223   ,239744.258993      ,914595.323741
big    ,cachekiller   ,500000  ,0.38895098195752836  ,275621.094203      ,914012.681159
big    ,cachekiller   ,600000  ,0.36723614881047417  ,308890.80575500004 ,913812.94964
big    ,cachekiller   ,700000  ,0.35701740380009583  ,342183.007194      ,914010.791367
big    ,cachekiller   ,800000  ,0.35142902762254513  ,386869.571429      ,926250.0
big    ,cachekiller   ,900000  ,0.349353345042312    ,442672.971223      ,948884.8920860001
big    ,cacherate-0   ,1000000 ,0.16017663588920114  ,391654.92753600003 ,976105.072464
big    ,cacherate-0   ,1100000 ,0.1453633079084705   ,439104.25179899996 ,988372.302158
big    ,cacherate-0   ,1200000 ,0.13327980730630268  ,500368.15          ,1012937.5
big    ,cacherate-0   ,1300000 ,0.123243677238057    ,572784.8857140001  ,1038517.857143
big    ,cacherate-0   ,1400000 ,0.11441188277800081  ,643025.9428569999  ,1063767.857143
big    ,cacherate-0   ,1500000 ,0.10654355680449618  ,718581.81295       ,1088965.8273379998
big    ,cacherate-0   ,1600000 ,0.09995985547972702  ,829715.2374100001  ,1127500.0
big    ,cacherate-0   ,1700000 ,0.0939381774387796   ,950516.8214290001  ,1165116.071429
big    ,cacherate-0   ,1800000 ,0.08871938980329185  ,1088831.544118     ,1203538.602941
big    ,cacherate-0   ,1900000 ,0.0841830590124448   ,1275915.323741     ,1253776.978417
big    ,cacherate-0   ,200000  ,0.8132476916900843   ,97593.453237       ,915593.5251799999
big    ,cacherate-0   ,2000000 ,0.07988759534323565  ,1556873.8848920001 ,1317500.0
big    ,cacherate-0   ,300000  ,0.5392211963067042   ,130802.1           ,915883.9285709999
big    ,cacherate-0   ,400000  ,0.40305098354074664  ,159848.152174      ,914981.8840579999
big    ,cacherate-0   ,500000  ,0.3215576073865917   ,189240.431655      ,915000.0
big    ,cacherate-0   ,600000  ,0.26776395022079486  ,218239.05036       ,914883.093525
big    ,cacherate-0   ,700000  ,0.22922521075873142  ,246415.33093499998 ,913758.9928059999
big    ,cacherate-0   ,800000  ,0.20032115616218388  ,290584.129496      ,926250.0
big    ,cacherate-0   ,900000  ,0.1781613809714974   ,337762.223022      ,951106.115108
big    ,cacherate-100 ,1000000 ,0.344533426183844    ,491783.764286      ,963616.0714290001
big    ,cacherate-100 ,1100000 ,0.346100278551532    ,559602.207143      ,988732.142857
big    ,cacherate-100 ,1200000 ,0.3450557103064067   ,632403.115108      ,1013857.913669
big    ,cacherate-100 ,1300000 ,0.34035515320334264  ,712118.3           ,1039044.642857
big    ,cacherate-100 ,1400000 ,0.33861420612813375  ,793045.1726619999  ,1064964.028777
big    ,cacherate-100 ,1500000 ,0.3407033426183844   ,884505.5035969999  ,1090008.992806
big    ,cacherate-100 ,1600000 ,0.33913649025069637  ,1014656.834532     ,1128705.0359709999
big    ,cacherate-100 ,1700000 ,0.3408774373259053   ,1156407.214286     ,1166544.642857
